"ID","COD_UF_A","UF_A","CODMUNDV_A","NOMEMUN_A","COD_UF_B","UF_B","CODMUNDV_B","NOMEMUN_B","VAR01","VAR02","VAR03","VAR04","VAR05","VAR06","VAR07","VAR08","VAR09","VAR10","VAR11","VAR12","VAR13","VAR14"
35065083522703,"35","SP",3506508,"Birigui","35","SP",3522703,"Itápolis","Centro de Zona A","Centro de Zona B",52.16,190,0,28,28,-50.3393285169,-21.2923922882,-48.8133919858,-21.594703994,0,"Não",0.274526315789474
35347083541406,"35","SP",3534708,"Ourinhos","35","SP",3541406,"Presidente Prudente","Centro Subregional A","Capital Regional C",43.93,160,0,42,42,-49.8685798362,-22.9772675001,-51.3867655819,-22.1227435,0,"Não",0.2745625
35259043538709,"35","SP",3525904,"Jundiaí","35","SP",3538709,"Piracicaba","Núcleo de Centro de Zona A (Jundiaí)","Capital Regional C",32.95,120,0,28,28,-46.8852739681,-23.187668,-47.6468462359,-22.7237219999,0,"Não",0.274583333333333
35347083548500,"35","SP",3534708,"Ourinhos","35","SP",3548500,"Santos","Centro Subregional A","Núcleo de Capital Regional C (Santos)",102.97,375,0,14,14,-49.8685798362,-22.9772675001,-46.3313708495,-23.9337374998,0,"Não",0.274586666666667
35342033549805,"35","SP",3534203,"Orindiúva","35","SP",3549805,"São José do Rio Preto","Centro Local","Núcleo de Capital Regional B (São José do Rio Preto)",21.97,80,0,49,49,-49.3518184806,-20.1801967433,-49.3813476849,-20.8126364997,0,"Não",0.274625
35033073513702,"35","SP",3503307,"Araras","35","SP",3513702,"Descalvado","Centro Subregional B","Centro Local",26.1,95,0,151,151,-47.3858295278,-22.3570865194,-47.6206639719,-21.909083,0,"Não",0.274736842105263
35466033550308,"35","SP",3546603,"Santa Fé do Sul","35","SP",3550308,"São Paulo","Centro de Zona A","Núcleo de Metrópole (São Paulo)",164.85,600,0,63,63,-50.9267774234,-20.2116931651,-46.5703831822,-23.5673865001,0,"Não",0.27475
35095023528304,"35","SP",3509502,"Campinas","35","SP",3528304,"Magda","Núcleo de Capital Regional A (Campinas)","Centro Local",118.15,430,0,21,21,-47.0601562726,-22.9073424996,-50.2275370471,-20.6434813109,0,"Não",0.274767441860465
35061023517406,"35","SP",3506102,"Bebedouro","35","SP",3517406,"Guaíra","Centro de Zona A","Centro Local",24.73,90,0,17,17,-48.4773621747,-20.9498155197,-48.3144704897,-20.3201443352,0,"Não",0.274777777777778
35488073548906,"35","SP",3548807,"São Caetano do Sul","35","SP",3548906,"São Carlos","Integrante de Metrópole (São Paulo)","Centro Subregional A",65.95,240,0,14,14,-46.5715146085,-23.6147050004,-47.8892376849,-22.0159985003,0,"Não",0.274791666666667
35061023512001,"35","SP",3506102,"Bebedouro","35","SP",3512001,"Colina","Centro de Zona A","Centro Local",6.87,25,0,76,76,-48.4773621747,-20.9498155197,-48.539738329,-20.7187344996,0,"Não",0.2748
35025073508504,"35","SP",3502507,"Aparecida","35","SP",3508504,"Caçapava","Centro de Zona B","Integrante de Capital Regional C (São José dos Campos)",16.5,60,0,250,250,-45.2294293377,-22.8481540004,-45.7077303649,-23.1006637523,0,"Não",0.275
35154003553005,"35","SP",3515400,"Fartura","35","SP",3553005,"Taguaí","Centro Local","Centro Local",5.5,20,0,43,43,-49.5120533768,-23.3889609135,-49.4057711151,-23.4498141189,0,"Não",0.275
35190063527405,"35","SP",3519006,"Herculândia","35","SP",3527405,"Lucélia","Centro Local","Centro de Zona B",19.25,70,0,7,7,-50.3855215984,-22.0037471809,-51.0183491425,-21.723415646,0,"Não",0.275
35223073552205,"35","SP",3522307,"Itapetininga","35","SP",3552205,"Sorocaba","Centro Subregional B","Núcleo de Capital Regional C (Sorocaba)",16.5,60,0,346,346,-48.0461428951,-23.5878724996,-47.4578532528,-23.499323,0,"Não",0.275
35243033545605,"35","SP",3524303,"Jaboticabal","35","SP",3545605,"Santa Adélia","Centro Local","Centro Local",19.25,70,0,72,72,-48.3203497509,-21.2544714991,-48.8059484186,-21.2432699996,0,"Não",0.275
35351013535705,"35","SP",3535101,"Palmares Paulista","35","SP",3535705,"Paraíso","Centro Local","Centro Local",2.75,10,0,48,48,-48.8012846262,-21.0824706917,-48.7725289126,-21.0157929991,0,"Não",0.275
35419013554102,"35","SP",3541901,"Queluz","35","SP",3554102,"Taubaté","Centro Local","Integrante de Capital Regional C (São José dos Campos)",19.25,70,0,2,2,-44.77847731,-22.5418444996,-45.5566086965,-23.0265555004,0,"Não",0.275
35439073548500,"35","SP",3543907,"Rio Claro","35","SP",3548500,"Santos","Centro Subregional A","Núcleo de Capital Regional C (Santos)",66,240,0,42,42,-47.5635332385,-22.4125114997,-46.3313708495,-23.9337374998,0,"Não",0.275
35241053550308,"35","SP",3524105,"Ituverava","35","SP",3550308,"São Paulo","Centro de Zona A","Núcleo de Metrópole (São Paulo)",108.65,395,0,29,29,-47.7804156551,-20.3362879663,-46.5703831822,-23.5673865001,0,"Não",0.27506329113924
